canonical_smiles,molecule_chembl_id,Ki_nM,assay_chembl_id,pIC50
O=C1NCc2cc(F)c(OCCCCN3CCN(c4cccc5ccccc45)CC3)cc21,CHEMBL1258534,0.877,CHEMBL1260558,9.057000406633959
O=C(Nc1cccnc1)N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1,CHEMBL3896937,0.88,CHEMBL3872755,9.05551732784983
O=C1NCc2cc(F)c(OCCCCN3CCN(c4cccc5cc(F)ccc45)CC3)cc21,CHEMBL1258881,0.891,CHEMBL1260558,9.050122295963126
O=S(=O)(c1cncc2ccccc12)N1CCC[C@@H]1CCN1CCN(c2nsc3ccccc23)CC1,CHEMBL4238679,0.9,CHEMBL4229838,9.045757490560675
O=S(=O)(NCCCCN1CCN(c2nsc3ccccc23)CC1)c1ccc2ccccc2c1,CHEMBL3289954,0.9,CHEMBL3297244,9.045757490560675
COc1cccc2[nH]cc(CN3CCC(O)(c4ccc(I)cc4)CC3)c12,CHEMBL1200270,0.9,CHEMBL3239709,9.045757490560675
O=Cc1cnn2ccc(OCCCCN3CCN(c4ccc(O)c5c4OCC(=O)N5)CC3)cc12,CHEMBL4079375,0.915,CHEMBL4046973,9.038578905933552
CN(C(=O)N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cccs1,CHEMBL5979294,0.92,CHEMBL5730969,9.036212172654444
c1ccc(-c2cccc(CN3CCN(c4cccc5c4OCCN5)CC3)c2)cc1,CHEMBL310048,0.93,CHEMBL672308,9.031517051446064
CC(C)Oc1ccccc1N1CCCN(CCCCOc2ccc3ccc(=O)[nH]c3c2)CC1,CHEMBL3921903,0.93,CHEMBL3887359,9.031517051446064
O=C1COc2c(N3CCN(CCCCOc4ccn5ncc(/C=N/O)c5c4)CC3)ccc(O)c2N1,CHEMBL4063145,0.9299999999999999,CHEMBL4046973,9.031517051446064
Cn1ccc2cc(S(=O)(=O)N[C@@H]3CCN(CCCc4noc5ccccc45)C3)ccc21,CHEMBL4759492,0.9333,CHEMBL4685403,9.029978734171634
O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)C1CCCCC1,CHEMBL3929168,0.94,CHEMBL3872755,9.0268721464003
