canonical_smiles,molecule_chembl_id,IC50_nM,assay_chembl_id,pIC50
COc1cc(C2CCNCC2)ccc1Nc1ncc(Br)c(Nc2ccccc2NS(N)(=O)=O)n1,CHEMBL5953169,38.0,CHEMBL5737859,7.42021640338319
Cn1nccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(Nc3ccc(Cl)c(Cl)c3F)c2c1)C1=CNNN1,CHEMBL6047629,38.0,CHEMBL5736995,7.42021640338319
CCS(=O)(=O)n1cc(-c2ccnc(Nc3ccc4c(cnn4CC(=O)N(C)C)c3)n2)c2ccccc21,CHEMBL5430401,38.0,CHEMBL5341566,7.42021640338319
Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#C/C=N/OCCN1CCOCC1,CHEMBL1683972,38.0,CHEMBL1686143,7.42021640338319
CN(C)CC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL137534,38.0,CHEMBL677833,7.42021640338319
NC1CCN(Cc2ccn3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c23)CC1,CHEMBL247710,38.0,CHEMBL923201,7.42021640338319
COc1cc(N2CCN(C3CCN(C(C)=O)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(C)(=O)=O)n1,CHEMBL5805552,38.0,CHEMBL5737858,7.42021640338319
C[C@@H](Nc1ncnc2sc(Br)cc12)c1ccccc1,CHEMBL3416600,38.0,CHEMBL3418211,7.42021640338319
CCC1=C2C(Nc3ccc4c(cnn4Cc4ccccc4)c3)=NC=NC2N=C1NC(=O)OCC1CCCNC1,CHEMBL584714,38.0,CHEMBL1052827,7.42021640338319
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCOCC4)cc3)nc3[nH]cc(-c4ccnc(NC)c4)c23)CC1,CHEMBL4549626,38.0,CHEMBL4349142,7.42021640338319
CCC1=C2C(Nc3ccc4c(cnn4Cc4ccccc4)c3)=NC=NC2N=C1NC(=O)OCCN1CCCCC1,CHEMBL566350,38.0,CHEMBL1052827,7.42021640338319
CCN1CCC(N2C=C([C@@H](Nc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)c3ccc(C(F)(F)F)s3)NN2)CC1,CHEMBL6052335,38.0,CHEMBL5736995,7.42021640338319
O=C(NCCO)C1=Cc2c(ncnc2Nc2ccc(Oc3cccc(C(F)(F)F)c3)c(Cl)c2)NCC1,CHEMBL2348414,38.0,CHEMBL2351562,7.42021640338319
COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nc(C)cc(-c2cn(C)c3ccccc23)n1,CHEMBL4434924,38.0,CHEMBL4411959,7.42021640338319
COc1cc(Nc2ncc(Cl)c(Nc3ccccc3C(=O)C(=O)N(C)C)n2)ccc1N1CCN(C)CC1,CHEMBL5871879,38.1,CHEMBL5731066,7.41907502432438
CCC(=O)N[C@H]1CC[C@H](n2c(=O)c(-c3ccccc3Cl)cc3ccc(Nc4ccc(N5CCN(C)CC5)c(C)c4)cc32)CC1,CHEMBL5194245,38.1,CHEMBL5143769,7.41907502432438
CCc1cc(Nc2ncc(Cl)c(-c3cn(S(=O)(=O)CC)c4ccccc34)n2)c(OC)cc1N1CCC(N2CCN(C)CC2)CC1,CHEMBL5172251,38.3,CHEMBL5165816,7.416801226031377
COc1cc2ncnc3c2cc1OCCOCCOCCOc1cc(Cl)ccc1N3,CHEMBL5169346,38.3,CHEMBL5153035,7.416801226031377
COc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1OCCCn1ccnc1[N+](=O)[O-],CHEMBL3355883,38.3,CHEMBL3372999,7.416801226031377
Cc1c(-c2cc(C(=O)/N=c3\[nH]c4ccccc4n3C3CCCC3)ccn2)cnn1C,CHEMBL5897403,38.5,CHEMBL5737539,7.414539270491499
C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-c3ccn(C)n3)n2)c(OC)cc1N1CCC(N(C)C)CC1,CHEMBL4159404,38.5,CHEMBL4154496,7.414539270491499
CCOc1cc2ncc(C#N)c(Nc3ccc(Cl)c(F)c3)c2cc1NC(=O)/C=C/CN(C)C,CHEMBL4578561,38.5,CHEMBL4332286,7.414539270491499
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5)cc4)[nH]c23)C1,CHEMBL4852264,38.6,CHEMBL4843876,7.413412695328245
Cc1ccc2c(=O)n(Cc3ccccc3)c(SCc3cn(-c4ccc(C(=O)O)cc4)nn3)nc2c1,CHEMBL5266387,38.8,CHEMBL5228581,7.411168274405792
C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2O[C@@H](C)CC(C)C)CC1,CHEMBL5272004,38.9,CHEMBL5255138,7.410050398674292
C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL137617,39.0,CHEMBL677833,7.4089353929735005
CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,CHEMBL607707,39.0,CHEMBL683041,7.4089353929735005
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)CSC,CHEMBL3671519,39.0,CHEMBL3705421,7.4089353929735005
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(CC(=O)N5CCN(CCOc6no[n+]([O-])c6S(=O)(=O)c6ccccc6)CC5)CC4)cc3OC)ncc2Cl)c1,CHEMBL2381516,39.0,CHEMBL2383984,7.4089353929735005
C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N(C)CCN(C)C,CHEMBL5279794,39.0,CHEMBL5238849,7.4089353929735005
COc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,CHEMBL53375,39.0,CHEMBL680021,7.4089353929735005
CC(C)N1C=C([C@@H](Nc2cc(Cl)c3ncc(C#N)c(Nc4ccc(F)c(Cl)c4)c3c2)c2cnco2)NN1,CHEMBL5809188,39.0,CHEMBL5736995,7.4089353929735005
C#Cc1cccc(Nc2ncnc3ccc(NC(C)=O)cc23)c1,CHEMBL3815074,39.0,CHEMBL3815405,7.4089353929735005
